project,country,status,discovery_year,start_year,operator,owner,parent,fuel_type,unit_type,lat,lng,url
Obrikom,Nigeria,operating,,,Nigerian Agip Oil Company,Eni S.P.A. (20%);Nigerian National Petroleum Corporation (60%);Oando Energy Resources (20%),Eni S.P.A. (20%);Nigerian National Petroleum Corporation (60%);Oando Energy Resources (20%),oil and gas,field,4.6999,6.972,https://www.gem.wiki/Obrikom_Oil_and_Gas_Field_(Nigeria)
Odudu,Nigeria,operating,,,TotalEnergies E&P,,,oil and gas,field,8.6806,7.5529,https://www.gem.wiki/Odudu_Oil_and_Gas_Field_(Nigeria)
Ofon,Nigeria,operating,,1997,TotalEnergies E&P,TotalEnergies E&P Nigeria Limited (40%);Nigerian National Petroleum Corporation (60%),TotalEnergies (40%);Nigerian National Petroleum Corporation (60%),oil and gas,field,4.109,8.062,https://www.gem.wiki/Ofon_Oil_and_Gas_Field_(Nigeria)
Ogbainbiri,Nigeria,operating,,,Nigerian Agip Oil Company,Nigerian National Petroleum Corporation (60%);Nigerian Agip Oil Company (20%);Phillips Oil Company Nigeria Ltd (20%),Nigerian National Petroleum Corporation (60%);Eni (20%);Oando (nan%),oil and gas,field,4.8093,5.9711,https://www.gem.wiki/Ogbainbiri_Oil_and_Gas_Field_(Nigeria)
Ogbele,Nigeria,operating,,2005,Niger Delta Petroleum,Niger Delta Petroleum (100%),Niger Delta Exploration & Production PLC (100%),oil and gas,field,8.6806,7.5529,https://www.gem.wiki/Ogbele_Oil_and_Gas_Field_(Nigeria)
Ogo,Nigeria,in development,2013.0,2023,Optimum Petroleum Development,,,oil,field,6.3717,3.2953,https://www.gem.wiki/Ogo_Oil_Field_(Nigeria)
Okan,Nigeria,operating,1963.0,,Chevron,Chevron (40%);Nigerian National Petroleum Corporation (60%),Chevron Corporation (40%);Nigerian National Petroleum Corporation (60%),oil and gas,field,5.5813,5.0381,https://www.gem.wiki/Okan_Oil_and_Gas_Field_(Nigeria)
Okono/Okpoho,Nigeria,operating,1983.0,,Nigerian Agip Oil Company,Nigerian National Petroleum Corporation (100%),Nigerian National Petroleum Corporation (100%),oil and gas,field,3.935,7.3055,https://www.gem.wiki/OkonoOkpoho_Oil_and_Gas_Field_(Nigeria)
Okoro,Nigeria,operating,1973.0,2008,Afren Energy Resources,Afren Energy Resources (50%);Amni International (50%),Afren PLC (50%);Amni International (50%),oil and gas,field,4.404,7.8,https://www.gem.wiki/Okoro_Oil_and_Gas_Field_(Nigeria)
Okpai,Nigeria,operating,,,Nigerian Agip Oil Company,,,oil and gas,field,5.702,6.515,https://www.gem.wiki/Okpai_Oil_and_Gas_Field_(Nigeria)
Okporhuru,Nigeria,in development,,2013,Seplat,Seplat Petroleum (45%);Nigerian Petroleum Development Company (55%),Seplat Petroleum (45%);Nigerian National Petroleum Corporation (55%),oil,field,5.9094,5.8507,https://www.gem.wiki/Okporhuru_Oil_Field_(Nigeria)
Okwori,Nigeria,operating,,,Addax,,,oil and gas,field,3.842,6.953,https://www.gem.wiki/Okwori_Oil_and_Gas_Field_(Nigeria)
Okwuibome,Nigeria,operating,1979.0,,Sterling Exploration and Energy Production Company,Sterling Exploration and Energy Production Limited (80%);Allene Energy (20%),Sterling Exploration and Energy Production Limited (80%);Allene Energy (20%),oil and gas,field,5.7122,6.5456,https://www.gem.wiki/Okwuibome_Oil_and_Gas_Field_(Nigeria)
Ole,Nigeria,operating,,,Nigerian Agip Oil Company,,,oil and gas,field,8.6806,7.5529,https://www.gem.wiki/Ole_Oil_and_Gas_Field_(Nigeria)
Oleh,Nigeria,operating,,,Nigerian Agip Oil Company,Oando Energy Resources (20%);Nigerian Agip Oil Company;Nigerian Petroleum Development Company,Oando Energy Resources (20%);Eni (20%);Nigerian National Petroleum Corporation (20%),oil and gas,field,5.463,6.174,https://www.gem.wiki/Oleh_Oil_and_Gas_Field_(Nigeria)
Olomoro,Nigeria,operating,1962.0,1963,,Shoreline Natural Resources Limited (45%);Nigerian Petroleum Development Company (55%),Shoreline Power Company Limited (nan%);Heritage Oil Limited (nan%);Nigerian National Petroleum Corporation (55%),oil and gas,field,5.463,6.174,https://www.gem.wiki/Olomoro_Oil_and_Gas_Field_(Nigeria)
